experiment_id,experiment_name,n_runs,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,inference_ms_per_image_mean,inference_ms_per_image_std,inference_ms_per_image_min,inference_ms_per_image_max,num_parameters_mean,num_parameters_std,num_parameters_min,num_parameters_max,model_size_mb_mean,model_size_mb_std,model_size_mb_min,model_size_mb_max,best_epoch_mean,best_epoch_std,best_epoch_min,best_epoch_max
E2,cnn_texture,5,0.9993265993265993,0.0015057696818180405,0.9966329966329966,1.0,0.9993801652892561,0.0013859925480370614,0.996900826446281,1.0,0.9993087557603687,0.0015456691088708285,0.9965437788018433,1.0,0.9993401218459222,0.0014755324093847924,0.9967006092296116,1.0,4.381982000004427,0.7072001298882055,3.8606699999945704,5.599260625012903,2590852.0,0.0,2590852,2590852,10.123411178588867,0.0,10.123411178588867,10.123411178588867,4.0,2.5495097567963922,2,8
E1,segmented_cnn,5,0.9975308641975309,0.003011539363636067,0.9932659932659933,1.0,0.9977432599156714,0.002740860211435302,0.9938775510204082,1.0,0.9975467606397398,0.003027843186413361,0.9930875576036866,1.0,0.9976202688928779,0.002919438199904817,0.9933961535490847,1.0,2.7714135000042006,0.4108306281127127,2.4166712500118592,3.4746099999665603,2228996.0,0.0,2228996,2228996,8.737112045288086,0.0,8.737112045288086,8.737112045288086,5.4,2.7928480087537886,3,10
E3,proposed_segmented_cnn_texture,5,0.9975308641975309,0.0035844488041910675,0.9921436588103255,1.0,0.9977315028260165,0.0032953744482319943,0.9927727404675307,1.0,0.9974654377880185,0.0036794284384035415,0.9919354838709677,1.0,0.9975721836702753,0.0035277514038399545,0.9922611885434065,1.0,3.5656706250392745,0.7854136872552355,3.1351625000752392,4.961746250000942,2590852.0,0.0,2590852,2590852,10.123411178588867,0.0,10.123411178588867,10.123411178588867,7.0,3.7416573867739413,3,13
E0,baseline_cnn,5,0.9968574635241302,0.005347308305082662,0.9876543209876543,1.0,0.9969727578818487,0.005212345036965853,0.9879629629629629,1.0,0.9968767261257317,0.005268787101790203,0.9878398518268152,1.0,0.9969190670861907,0.005243159712883635,0.9878947262013424,1.0,3.954167125002641,0.7073751893844147,3.158021249964804,4.911317500000223,2228996.0,0.0,2228996,2228996,8.737112045288086,0.0,8.737112045288086,8.737112045288086,2.2,0.8366600265340756,1,3
