comparison,n_common_seeds,mean_delta_macro_f1,std_delta_macro_f1,min_delta_macro_f1,max_delta_macro_f1
E1 - E0,5,0.0007012018066871794,0.00690481623930112,-0.006603846450915274,0.011003797578439833
E2 - E0,5,0.0024210547597315114,0.005894957207304835,-0.003299390770388433,0.012105273798657556
E3 - E0,5,0.0006531165840846231,0.005657063205245027,-0.007738811456593497,0.00770500360662818
